,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
0,False,/AvsNXUbP7UKCVnypyx2eWp8z2N3.jpg,"[16, 35, 10765]",94954,['US'],en,Hazbin Hotel,"In attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption.",284.991,/rXojaQcxVUubPLSrFV8PD4xdjrs.jpg,2024-01-18,Hazbin Hotel,9.064,715
1,False,/9faGSFi5jam6pDWGNd0p8JcJgXQ.jpg,"[18, 80]",1396,['US'],en,Breaking Bad,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",775.808,/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,2008-01-20,Breaking Bad,8.905,13250
2,False,/rkB4LyZHo1NHXFEDHl9vSD9r1lI.jpg,"[16, 18, 10765, 10759]",94605,['US'],en,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",149.57,/fqldf2t8ztc9aiwn3k6mlX3tvRT.jpg,2021-11-06,Arcane,8.751,3659
3,False,/2rmK7mnchw9Xr3XdiTFSxTTLXqv.jpg,"[10759, 35, 16]",37854,['JP'],ja,ワンピース,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates.

Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way.

Luffy will do anything to get the One Piece and become King of the Pirates!",184.149,/cMD9Ygz11zjJzAovURpO75Qg7rT.jpg,1999-10-20,One Piece,8.7,4362
4,False,/kU98MbVVgi72wzceyrEbClZmMFe.jpg,"[16, 10759, 10765]",246,['US'],en,Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",336.637,/5HK6t0yxt0p0L5d3lI7H6iU8YsV.jpg,2005-02-21,Avatar: The Last Airbender,8.716,3807
5,False,/rBF8wVQN8hTWHspVZBlI3h7HZJ.jpg,"[16, 35, 10765, 10759]",60625,['US'],en,Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",731.153,/gdIrmf2DdY5mgN6ycVP0XlzKzbE.jpg,2013-12-02,Rick and Morty,8.702,9229
6,False,/97cicAYWu4cc0TyXJoDQiMmWI2t.jpg,"[10759, 16, 10765, 35, 18]",31911,['JP'],ja,鋼の錬金術師 FULLMETAL ALCHEMIST,"Disregard for alchemy’s laws ripped half of Edward Elric’s limbs from his body and left his brother Alphonse’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric brothers course, but their purpose will remain unchanged and their bond unbreakable.",286.776,/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,2009-04-05,Fullmetal Alchemist: Brotherhood,8.696,1886
7,False,/70YdbMELM4b8x8VXjlubymb2bQ0.jpg,"[18, 10751]",70785,['CA'],en,Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",141.053,/6P6tXhjT5tK3qOXzxF9OMLlG7iz.jpg,2017-03-19,Anne with an E,8.69,4511
8,False,/nTvM4mhqNlHIvUkI1gVnW6XP7GG.jpg,"[16, 10759, 10765]",85937,['JP'],ja,鬼滅の刃,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",121.563,/xUfRZu2mi8jH6SzQEJGP6tjBuYj.jpg,2019-04-06,Demon Slayer: Kimetsu no Yaiba,8.676,5932
9,False,/7iTOLVTKoBLwDYcoOA1qTS6NY5y.jpg,"[16, 10762, 35]",82728,['AU'],en,Bluey,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.",527.86,/b9mY0X5T20ZM073hoa5n0dgmbfN.jpg,2018-10-01,Bluey,8.666,434
